Topic,Count,Name
0,224,0_mental health_mental illness_depression_depressed
1,206,1_news_politics_political_unrest
2,201,2_social media_facebook_instagram_twitter
3,171,3_free dm_dm need_send dm_dm
4,166,4_depression money_having money_money health_make money
5,157,5_songs_song_genre_book
6,145,6_apartment_apartments_roaches_roach
7,142,7_dreamed_dreaming_dreams bad_dreams
8,104,8_crash speed_survived_crash_crashed
9,99,
10,86,
11,83,
12,82,
13,82,
14,65,
15,64,
16,58,
17,56,
18,56,
19,53,
20,53,
21,51,
22,50,
23,48,
24,48,
25,45,
26,44,
27,44,
28,41,
29,39,
30,38,
31,37,
32,36,
34,35,
33,35,
35,34,
36,33,
37,31,
39,30,
40,30,
38,30,
41,29,
43,27,
42,27,
45,26,
44,26,
46,25,
48,24,
49,24,
47,24,
50,23,
53,22,
51,22,
54,22,
52,22,
55,22,
57,21,
56,21,
58,20,
59,20,
60,20,
62,19,
64,19,
61,19,
63,19,
65,19,
66,18,
67,17,
68,17,
72,16,
73,16,
70,16,
69,16,
71,16,
75,15,
76,15,
74,15,
78,14,
79,14,
77,14,
81,13,
80,13,
85,12,
83,12,
82,12,
84,12,
86,12,
87,11,
89,11,
90,11,
88,11,
91,10,
92,10,
93,10,
